id,food_name_canonical,scenario_input,scenario_type,language,category,region,preparation_variant,portion_unit,typical_portion,expected_resolved_food
RIF_00001,Roti,roti,english_canonical,English,bread_flatbread,Pan-India,normal,piece,2 pieces,Roti
RIF_00002,Roti,Roti / Chapati,english_canonical,English,bread_flatbread,Pan-India,normal,piece,2 pieces,Roti
RIF_00003,Roti,રોટલી,gujarati_native_script,Gujarati,bread_flatbread,Pan-India,normal,piece,2 pieces,Roti
RIF_00004,Roti,rotli,gujarati_translit,Gujlish,bread_flatbread,Pan-India,normal,piece,2 pieces,Roti
RIF_00005,Roti,रोटी,hindi_devanagari_script,Hindi,bread_flatbread,Pan-India,normal,piece,2 pieces,Roti
RIF_00006,Chapati,chapati,english_canonical,English,bread_flatbread,Pan-India,normal,piece,3 pieces,Chapati
RIF_00007,Chapati,Wheat Chapati,english_canonical,English,bread_flatbread,Pan-India,normal,piece,3 pieces,Chapati
RIF_00008,Chapati,ચપાતી,gujarati_native_script,Gujarati,bread_flatbread,Pan-India,normal,piece,3 pieces,Chapati
RIF_00009,Chapati,चपाती,hindi_devanagari_script,Hindi,bread_flatbread,Pan-India,normal,piece,3 pieces,Chapati
RIF_00010,Bhakri,bhakri,english_canonical,English,bread_flatbread,Gujarat,normal,piece,2 pieces,Bhakri
RIF_00011,Bhakri,Gujarati Wheat Bhakri,english_canonical,English,bread_flatbread,Gujarat,normal,piece,2 pieces,Bhakri
RIF_00012,Bhakri,ભાખરી,gujarati_native_script,Gujarati,bread_flatbread,Gujarat,normal,piece,2 pieces,Bhakri
RIF_00013,Bhakri,bhakhri,gujarati_translit,Gujlish,bread_flatbread,Gujarat,normal,piece,2 pieces,Bhakri
RIF_00014,Bhakri,भाखरी,hindi_devanagari_script,Hindi,bread_flatbread,Gujarat,normal,piece,2 pieces,Bhakri
RIF_00015,Bajra Rotlo,bajra rotlo,english_canonical,English,bread_flatbread,Gujarat,normal,piece,1 piece,Bajra Rotlo
RIF_00016,Bajra Rotlo,Pearl Millet Flatbread (Bajra Rotlo),english_canonical,English,bread_flatbread,Gujarat,normal,piece,1 piece,Bajra Rotlo
RIF_00017,Bajra Rotlo,બાજરીનો રોટલો,gujarati_native_script,Gujarati,bread_flatbread,Gujarat,normal,piece,1 piece,Bajra Rotlo
RIF_00018,Bajra Rotlo,bajra no rotlo,gujarati_translit,Gujlish,bread_flatbread,Gujarat,normal,piece,1 piece,Bajra Rotlo
RIF_00019,Bajra Rotlo,बाजरे की रोटी,hindi_devanagari_script,Hindi,bread_flatbread,Gujarat,normal,piece,1 piece,Bajra Rotlo
RIF_00020,Bajra Rotlo,bajra roti,hindi_translit,Hinglish,bread_flatbread,Gujarat,normal,piece,1 piece,Bajra Rotlo
RIF_00021,Methi Thepla,methi thepla,english_canonical,English,bread_flatbread,Gujarat,normal,piece,2 pieces,Methi Thepla
RIF_00022,Methi Thepla,Fenugreek Spiced Flatbread (Thepla),english_canonical,English,bread_flatbread,Gujarat,normal,piece,2 pieces,Methi Thepla
RIF_00023,Methi Thepla,મેથી થેપલા,gujarati_native_script,Gujarati,bread_flatbread,Gujarat,normal,piece,2 pieces,Methi Thepla
RIF_00024,Methi Thepla,मेथी थेपला,hindi_devanagari_script,Hindi,bread_flatbread,Gujarat,normal,piece,2 pieces,Methi Thepla
RIF_00025,Dudhi Thepla,dudhi thepla,english_canonical,English,bread_flatbread,Gujarat,normal,piece,2 pieces,Dudhi Thepla
RIF_00026,Dudhi Thepla,Bottle Gourd Thepla,english_canonical,English,bread_flatbread,Gujarat,normal,piece,2 pieces,Dudhi Thepla
RIF_00027,Dudhi Thepla,દૂધી થેપલા,gujarati_native_script,Gujarati,bread_flatbread,Gujarat,normal,piece,2 pieces,Dudhi Thepla
RIF_00028,Dudhi Thepla,लौकी थेपला,hindi_devanagari_script,Hindi,bread_flatbread,Gujarat,normal,piece,2 pieces,Dudhi Thepla
