region,food_name,category,vegetarian_status,serving_size_g,estimated_calories_kcal,estimated_protein_g,estimated_carbs_g,estimated_fat_g,estimated_fiber_g,estimated_calories_per_100g,nutrition_source
North India,Achari baingan,Vegetable,Veg,150,130,4,15,5,5,86.7,Estimate for fitness-app use; not provided by Wikipedia
North India,Aloo gobi,Vegetable,Veg,150,130,4,15,5,5,86.7,Estimate for fitness-app use; not provided by Wikipedia
North India,Aloo tikki,Street Food,Veg,180,350,8,45,15,5,194.4,Estimate for fitness-app use; not provided by Wikipedia
North India,Aloo tuk,Snack,Veg,100,280,6,32,14,3,280,Estimate for fitness-app use; not provided by Wikipedia
North India,Aloo matar,Curry,Veg,200,230,8,18,12,5,115,Estimate for fitness-app use; not provided by Wikipedia
North India,Aloo kulcha,Bread,Veg,80,250,7,42,7,3,312.5,Estimate for fitness-app use; not provided by Wikipedia
North India,Aloo methi,Vegetable,Veg,150,130,4,15,5,5,86.7,Estimate for fitness-app use; not provided by Wikipedia
North India,Aloo shimla mirch,Vegetable,Veg,150,130,4,15,5,5,86.7,Estimate for fitness-app use; not provided by Wikipedia
North India,Baati,Bread,Veg,80,250,7,42,7,3,312.5,Estimate for fitness-app use; not provided by Wikipedia
North India,Bhatura,Bread,Veg,80,250,7,42,7,3,312.5,Estimate for fitness-app use; not provided by Wikipedia
North India,Bhindi masala,Vegetable,Veg,150,130,4,15,5,5,86.7,Estimate for fitness-app use; not provided by Wikipedia
North India,Biryani,Rice Dish,Non-Veg,250,300,16,48,8,3,120,Estimate for fitness-app use; not provided by Wikipedia
North India,Butter chicken,Chicken,Non-Veg,180,300,33,10,18,2,166.7,Estimate for fitness-app use; not provided by Wikipedia
North India,Chaat,Street Food,Veg,180,350,8,45,15,5,194.4,Estimate for fitness-app use; not provided by Wikipedia
North India,Chana masala,Curry,Veg,200,230,8,18,12,5,115,Estimate for fitness-app use; not provided by Wikipedia
North India,Chapati,Bread,Veg,80,250,7,42,7,3,312.5,Estimate for fitness-app use; not provided by Wikipedia
North India,Chicken rezala,Chicken,Non-Veg,180,300,33,10,18,2,166.7,Estimate for fitness-app use; not provided by Wikipedia
North India,Chicken Tikka,Chicken,Non-Veg,180,300,33,10,18,2,166.7,Estimate for fitness-app use; not provided by Wikipedia
North India,Chicken tikka masala,Chicken,Non-Veg,180,300,33,10,18,2,166.7,Estimate for fitness-app use; not provided by Wikipedia
North India,Chole bhature,Street Food,Veg,180,350,8,45,15,5,194.4,Estimate for fitness-app use; not provided by Wikipedia
North India,Daal baati churma,Main Dish,Veg,250,300,10,40,10,6,120,Estimate for fitness-app use; not provided by Wikipedia
North India,Dal fara,Snack,Veg,100,280,6,32,14,3,280,Estimate for fitness-app use; not provided by Wikipedia
